InstructionsFilepath,Instructions2Filepath,category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,babyStim.started,babyStim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.12693440000293776,,0.009871400019619614,0.010491900029592216,0.020141899993177503,0.02050829998916015,0.025342600012663752,0.12693440000293776,0.12693440000293776,0.12693440000293776,1.9520274000242352,1,[1.8573316999827512],[1.857337000023108],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
instructions//slide2.png,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,2.078568199998699,,,,1.9879512999905273,1.9883704999811016,1.992767499992624,2.078568199998699,2.078568199998699,2.078568199998699,2.1304603000171483,1,[0.06991390004986897],[0.06991790002211928],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
instructions//slide3.png,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,2.278949100000318,,,,2.1580790000152774,2.158508900029119,2.1633905000053346,2.278949100000318,2.278949100000318,2.278949100000318,2.313211200002115,1,[0.05862289998913184],[0.0586347000207752],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
instructions//slide4.png,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,2.462059399986174,,,,2.344010900007561,2.3444613000028767,2.349456600029953,2.462059399986174,2.462059399986174,2.462059399986174,2.4632360999821685,1,[0.025963100022636354],[0.025967099994886667],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
instructions//slide5.png,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,2.5952452000346966,,,,2.498038900026586,2.4984210000257008,2.5022667000303045,2.5952452000346966,2.5952452000346966,2.5952452000346966,2.612938200007193,1,[0.04080479999538511],[0.04080889996839687],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
instructions//slide6.png,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,2.745673600002192,,,,2.6508238000096753,2.651271299982909,2.655411100015044,2.745673600002192,2.745673600002192,2.745673600002192,2.7638177000335418,1,[0.037815899995621294],[0.037824600003659725],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,2.8956254000077024,,,,2.8076311000040732,2.808064699987881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,instructions//slide7.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,4.882431500009261,,,,,,,,,,,,,,,,,2.8793083000346087,2.8956254000077024,2.8956254000077024,2.8956254000077024,2.8956254000077024,3.6987344999797642,0,,,1,[0.8175311000086367],[0.8175402999622747],3.6992598000215366,3.7131209000363015,3.7131209000363015,3.7131209000363015,3.7131209000363015,4.064822799991816,1,[0.3640707000158727],[0.3640815999824554],0,,,4.065388799994253,4.080054500023834,4.080054500023834,4.080054500023834,4.080054500023834,4.415161999990232,0,,,1,[0.3482393999584019],[0.34824369999114424],4.415685300016776,4.430273000034504,4.430273000034504,4.430273000034504,4.430273000034504,4.782223600021098,1,[0.36506000004010275],[0.3650641000131145],0,,,4.791109799989499,4.791467100032605,4.795359199983068,4.882431500009261,4.882431500009261,4.882431500009261,5.466299100022297,1,[0.6028893999755383],[0.6028981999843381],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,instructions//slide8.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,5.647906900034286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55718970001908,5.557617200014647,5.5615050999913365,5.647906900034286,5.647906900034286,5.647906900034286,5.799459700006992,1,[0.17042330000549555],[0.17042750003747642],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,instructions//slide9.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,5.998923200007994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8880930999876,5.88855070003774,5.892485500022303,5.998923200007994,5.998923200007994,5.998923200007994,6.115999500034377,1,[0.13178090000292286],[0.13178469997365028],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,instructions//slide10.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,6.318261799984612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.208923600031994,6.20928210002603,6.2131593999802135,6.318261799984612,6.318261799984612,6.318261799984612,6.449812999984715,1,[0.14619759999914095],[0.14620650000870228],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,instructions//slide11.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4,0,4,0,0,0,0,0,,,,,,,,,6.703746100014541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.613561000034679,6.6139488000189885,6.617871600028593,6.703746100014541,6.703746100014541,6.703746100014541,6.816219600033946,1,[0.12851760000921786],[0.1285234999959357],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,instructions//slide12.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,0,5,0,0,0,0,0,,,,,,,,,7.004928299982566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9159473000327125,6.9163458999828435,6.92025880003348,7.004928299982566,7.004928299982566,7.004928299982566,7.066842900007032,1,[0.07615660002920777],[0.07616080000298098],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,6,0,6,0,,,,,,,,,,,,,7.483578199986368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1728093000128865,7.173232700035442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46289640001487,7.483578199986368,7.483578199986368,8.417679900012445,['5'],[0.9316247000242583],[None],,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9.43434720003279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.423262800031807,8.433675100037362,9.417904400033876,9.418387099984102,9.418793499993626,9.41880729998229,9.43434720003279,9.68472090002615,9.668390000006184,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,9.68472090002615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.668849700014107,9.669100300001446,9.669111800030805,9.68472090002615,9.934538200031966,9.919066800037399,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,9.934538200031966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.919510000036098,9.919798800023273,9.919809699989855,9.934538200031966,,10.168900699994992,,,,,,,,,,,,,,,,15,0,2023-11-08_15h10.23.603,pilotv2,2023.2.3,60.38129580703244,2023-11-08 15h10.30.082605 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.384416299988516,,,,,,,,,,,,,,,,,,,,,,
